Employee_ID,Age,Years_of_Experience,Monthly_Working_Hours,Training_Hours_per_Year,Performance_Rating,Department_HR,Department_Operations,Department_Sales,Department_Tech,Job_Satisfaction_Level_Low,Job_Satisfaction_Level_Medium,Promotion_in_Last_2_Years_Yes,Attrition_Yes
E1000,59,27,135,30,3,False,False,True,False,False,True,True,False
E1001,49,13,132,36,5,False,False,False,True,False,True,True,True
E1002,35,16,197,11,5,False,True,False,False,True,False,False,False
E1003,28,23,204,36,3,True,False,False,False,False,False,False,False
E1004,41,33,192,36,2,False,True,False,False,False,True,False,False
E1005,59,21,238,3,5,True,False,False,False,False,True,False,False
E1006,39,9,187,29,4,True,False,False,False,False,True,False,False
E1007,43,7,193,37,3,True,False,False,False,True,False,False,False
E1008,31,20,218,41,3,False,False,False,True,False,False,False,False
E1009,31,6,236,37,3,False,False,True,False,True,False,False,True
E1010,44,25,234,26,5,False,False,False,True,False,True,False,False
E1011,56,12,173,21,2,False,False,True,False,False,True,False,True
E1012,44,15,198,0,4,False,True,False,False,False,False,False,False
E1013,23,29,134,47,1,False,False,False,False,False,True,False,False
E1014,42,30,237,42,5,False,True,False,False,False,True,False,False
E1015,22,4,231,37,3,False,False,False,True,False,True,False,False
E1016,44,31,225,19,2,False,False,False,True,True,False,False,True
E1017,50,15,224,17,1,False,False,True,False,True,False,False,True
E1018,58,8,166,5,3,False,False,False,True,True,False,True,False
E1019,22,21,237,48,2,True,False,False,False,True,False,False,False
E1020,41,13,245,11,3,False,False,False,True,True,False,False,False
E1021,53,15,217,16,3,False,False,True,False,False,True,False,False
E1022,32,19,167,21,1,False,False,True,False,False,True,False,False
E1023,42,14,201,17,3,True,False,False,False,False,False,False,False
E1024,45,25,135,9,3,False,False,True,False,False,True,False,False
E1025,47,8,193,23,3,False,False,False,False,True,False,False,False
E1026,48,0,140,19,3,False,True,False,False,False,False,False,False
E1027,36,34,180,11,3,False,False,False,True,False,False,False,True
E1028,35,19,143,3,3,False,False,False,False,False,True,False,False
E1029,23,5,142,41,2,False,False,False,True,True,False,False,True
E1030,57,9,206,4,2,False,False,False,False,False,False,False,False
E1031,27,32,121,25,2,False,False,False,True,True,False,False,False
E1032,41,15,172,35,4,True,False,False,False,True,False,False,False
E1033,29,5,134,15,3,False,False,True,False,False,True,False,False
E1034,59,18,241,4,3,False,False,True,False,False,True,True,True
E1035,38,30,242,25,4,True,False,False,False,True,False,False,False
E1036,24,1,211,18,3,False,False,False,False,False,True,False,False
E1037,45,17,142,5,3,False,True,False,False,False,True,False,False
E1038,34,27,207,23,1,False,False,False,False,False,False,False,False
E1039,29,3,218,30,4,False,False,True,False,True,False,False,True
E1040,46,0,146,30,4,False,True,False,False,True,False,False,False
